AccountID,AccountType,InitiatorType,DateTime,TransactionValue 
789,CURRENT,ACCOUNT-HOLDER,2018-12-30T09:10:00Z,50.0
123,SAVINGS,ACCOUNT-HOLDER,2018-12-30T10:15:30Z,100.5
123,SAVINGS,ACCOUNT-HOLDER,2018-12-30T22:10:00Z,50.25
789,CURRENT,ACCOUNT-HOLDER,2018-12-30T23:20:00Z,-77.43
789,CURRENT,ACCOUNT-HOLDER,2019-01-01T07:20:00Z,-20.23
123,SAVINGS,ACCOUNT-HOLDER,2019-01-01T09:10:00Z,10.56
789,CURRENT,ACCOUNT-HOLDER,2019-02-01T09:20:00Z,200.23
123,SAVINGS,ACCOUNT-HOLDER,2019-02-03T10:20:15Z,100.23
123,SAVINGS,SYSTEM,2018-12-30T23:20:00Z,-150.75
789,CURRENT,SYSTEM,2018-12-30T23:20:00Z,150.75
123,SAVINGS,SYSTEM,2018-12-30T23:20:00Z,-27.43
789,CURRENT,SYSTEM,2018-12-30T23:20:00Z,27.43
123,SAVINGS,SYSTEM,2019-01-01T07:20:00Z,-20.23
789,CURRENT,SYSTEM,2019-01-01T07:20:00Z,20.23
